Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
BinaryInsertionSort values 0-5;2373;5750;9291;12416;15881;19560;23317;26671;30381;35232;38957;43533;47548;52138;56092;61404;65960;72317;76034;84181;84834;91285;95904;101193;106707;112129;117702;123845;130763;138571;143367;148498;155381;162363;169484;177129;183611;191805;200776;204126;211360
BinaryInsertionSort sorted values 0-5;400;900;1483;2196;2649;3313;4060;4631;5493;5999;6763;9413;8559;9388;10064;10780;11691;12559;13072;13922;14706;15545;16536;17807;18143;19073;19827;20552;21510;22460;23492;24063;25200;25622;26678;27283;28295;28555;28959;30313;30644
BinaryInsertionSort almost sorted values 0-5;403;921;1541;2179;2823;3543;4714;5033;7937;10022;8083;8888;9531;10415;11671;12276;13156;14016;15372;16166;16654;17865;18731;19808;20689;21542;23139;23622;24458;25412;26021;27424;29684;28905;30001;30774;32151;34011;33686;34029;35139
BinaryInsertionSort reversed values 0-5;401;903;1502;2257;2854;3553;4928;8947;13654;17970;22556;27280;31341;37249;43555;50263;57426;64139;72930;78340;86263;95262;104209;111905;119834;129438;136795;146542;158077;169576;178344;188329;198803;209816;221988;236089;248334;260033;271388;286084;297545
BinaryInsertionSort values 0-4000;2875;6561;11320;15966;20774;25406;30585;35870;41712;47077;52888;60154;70486;79084;81064;86705;93763;101478;109214;117140;124610;132386;142303;151011;157985;166310;175147;183056;193113;203001;218423;222271;229894;241742;248896;260000;269701;284765;291833;302013;314324
BinaryInsertionSort sorted values 0-4000;400;900;1489;2090;2685;3584;4105;4644;5359;5998;6818;7473;8255;8974;9678;10906;11187;13020;12928;13445;14398;15250;15872;16625;17883;18338;19298;20120;20980;21852;22531;23355;24109;25100;26110;26455;27555;28410;29462;29890;30786
BinaryInsertionSort almost sorted values 0-4000;431;957;1568;2103;2739;3517;4199;4942;5657;6413;7206;8012;8836;10448;10694;11440;12029;13088;13766;14904;15539;16755;17388;18869;19360;20357;28029;23457;24372;25454;27928;27457;28141;29393;30263;31688;30454;31001;32378;33454;35019
BinaryInsertionSort reversed values 0-4000;1112;2313;3895;5920;7845;10183;13153;16036;19579;23655;27674;31737;36398;40860;47229;51739;58211;63466;69868;76543;83428;94342;99467;105434;113179;122449;130763;138797;147661;158463;170124;180237;191496;201264;213788;224625;230864;245184;253643;265498;280092
BubbleSort values 0-5;8037;26044;42360;64841;91140;127342;159642;201515;242953;292598;346216;412169;467200;538223;610664;690470;780462;860968;945005;1056860;1162819;1284665;1378088;1495274;1606819;1769438;1877977;2000030;2119126;2333363;2423772;2561015;2760541;2899897;3227761;3261825;3432333;3647949;3825287;4034195;4228167
BubbleSort sorted values 0-5;1747;6565;14560;24607;39008;54579;73431;109640;122167;146783;178972;210850;245829;286002;326206;382538;427966;483674;525281;577503;638159;705757;762339;835021;916468;1006513;1050157;1131169;1211078;1297006;1388726;1469502;1571320;1667382;1766276;1866477;1986805;2168719;2187090;2300809;2427104
BubbleSort almost sorted values 0-5;1761;6903;14230;24890;38819;54297;75840;96702;120057;146898;177106;210736;246699;288126;327729;371730;423244;474361;523796;618525;654073;700898;766073;830971;906348;973944;1055246;1141111;1216425;1299000;1399676;1490996;1574864;1679875;1774480;1883754;1984899;2082928;2221613;2305615;2433972
BubbleSort reversed values 0-5;1872;6744;14498;25514;39039;55438;83548;111124;140122;172932;206415;269460;287895;340735;391666;452337;520990;571697;625691;696504;779750;839852;923715;1041720;1121643;1221387;1281141;1436544;1482132;1579620;1747401;1833240;1911124;2037802;2162636;2381591;2424589;2547831;2704313;2961735;2975085
BubbleSort values 0-4000;9864;33130;55068;81298;113133;154317;202004;251534;307839;369582;448351;527962;599135;688642;790770;878553;993025;1125939;1302028;1325685;1475213;1623540;1770569;1890062;2044905;2365028;2619914;2699979;2883373;3030813;3299290;3499301;3560130;3749160;4020216;4187882;4563225;4752219;5023174;5260611;5505886
BubbleSort sorted values 0-4000;1841;6541;14454;24748;39352;54301;73092;96685;120092;147231;177127;211799;257376;287232;326507;371640;419500;468015;604148;576893;644089;737004;767292;832686;900046;976883;1048688;1131853;1211959;1309899;1418343;1507380;1579408;1657843;1787879;1876087;1992978;2072017;2196559;2321195;2411164
BubbleSort almost sorted values 0-4000;1966;6636;14257;24663;38081;54294;74384;95702;119436;147147;184130;225309;249902;290525;333242;382050;454352;520136;543217;596518;743553;737580;825916;864035;927117;977572;1054624;1133357;1217653;1376236;1386931;1502679;1572426;1681634;1761337;1867186;1970747;2077672;2196084;2312211;2427224
BubbleSort reversed values 0-4000;3351;10691;20783;35314;52393;78562;107539;170326;170753;206459;238721;345982;337530;413434;437184;499388;596215;618243;675609;752865;884542;926825;1003978;1108395;1168535;1509824;1717503;1597089;1572989;1710744;1771375;1979573;2008856;2344002;2304435;2564915;3015294;2670115;3034756;2993414;3491096
CountingSort values 0-5;233;464;727;931;1159;1384;1748;2091;2107;2313;2801;2762;2974;3534;3418;3630;4096;4280;4651;4550;4942;5022;5351;5602;5667;6034;6496;6345;6748;7281;7103;7220;7674;7844;8427;8315;8571;9063;8909;9332;9468
CountingSort sorted values 0-5;300;518;895;1226;1471;1754;2082;2428;2745;3013;3236;3548;3927;4104;4334;4743;4917;5332;5555;5883;6137;6350;7209;7320;7445;7608;7853;8161;8425;8810;8969;9618;9547;9796;10261;10506;10942;11465;11434;11825;11869
CountingSort almost sorted values 0-5;312;592;970;1274;1634;1917;2195;2556;3118;3303;3424;3875;4015;4315;4655;4880;5135;5498;5856;6063;6385;6717;6781;7435;8742;8071;8060;8273;8770;8874;9326;9523;9731;9952;10311;10959;10910;11558;11952;11740;12078
CountingSort reversed values 0-5;302;527;889;1172;1470;1833;2193;2375;2707;3291;3489;3572;3882;4069;4419;4893;4939;5260;5532;5950;6230;6586;6992;7022;7480;7642;14465;15499;15878;16038;16420;17009;18167;18111;19810;19774;20157;20368;20802;21702;22139
CountingSort values 0-4000;5680;6471;7138;7862;8417;9065;9806;10644;11211;11762;12475;13174;13911;14484;15157;15683;16401;17399;17694;18434;19204;20328;20496;20998;21859;22236;23074;24456;24635;25186;26136;26265;27506;28522;28842;29043;29826;30531;31146;32043;32379
CountingSort sorted values 0-4000;784;1529;2398;3204;3947;4725;5563;6358;7077;8123;8765;9758;10224;11181;11890;12624;13353;14392;14966;15767;17203;17798;18080;18929;19960;20891;21247;22487;23496;23631;24945;25241;26343;27635;27968;28852;29266;30296;32070;32127;32962
CountingSort almost sorted values 0-4000;913;1726;2675;3581;4622;5409;6021;6866;7757;8879;9996;10238;11099;12032;12552;13205;13987;15151;15738;16407;17894;18351;18709;19446;20388;21053;21707;23099;26085;23947;24887;25596;27000;27643;27691;28859;32646;31700;31659;31600;33011
CountingSort reversed values 0-4000;745;1515;2469;3200;3976;5084;5471;6314;7215;8160;8700;9340;10181;11334;11750;12780;13270;14122;15336;15612;17221;17712;18541;18891;19539;20313;21544;22315;25919;25190;24368;25225;26177;27354;28383;28465;29255;30114;31028;31566;32603
FirstIverson values 0-5;8759;25645;40725;62492;89425;121217;157762;199137;243654;291459;345455;406489;468570;543919;610757;690535;767285;857175;952079;1042632;1143648;1247427;1362184;1473989;1594844;1735034;1854838;1981976;2151626;2265188;2428556;2576798;2747397;2915225;3075191;3235872;3454800;3643978;3815462;4075873;4248448
FirstIverson sorted values 0-5;1856;6754;14988;25380;39145;55610;75126;98141;124560;150503;183117;210947;245789;286779;327631;371097;419102;468971;526249;577357;644423;717694;780844;842513;902154;975007;1047222;1133585;1208479;1296167;1383575;1506356;1570941;1658655;1794651;1869397;1976082;2097303;2198307;2292401;2411658
FirstIverson almost sorted values 0-5;1736;6806;14279;24935;38065;54217;74285;95295;121350;149230;179959;210331;246314;285248;329446;371111;419417;468932;527178;580549;639297;698515;772832;848234;917826;976928;1055300;1146352;1210420;1307213;1402659;1475954;1563959;1690255;1767773;1880201;1970271;2106550;2198332;2303643;2412578
