Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
BinaryInsertionSort values 0-5;9772;33447;70167;118885;180612;254853;341469;440506;552416;677463;814957;964895;1128963;1302347;1490962;1692468;1906182;2131494;2369078;2618258;2884556;3161573;3447176;3745598;4058280;4384933;4723823;5076598;5444358;5816685;6207416;6609489;7020744;7445748;7886476;8334644;8802245;9282365;9771883;10271496;10780290
BinaryInsertionSort sorted values 0-5;4000;9400;15100;21200;27300;33900;40600;47300;54000;60700;67900;75200;82500;89800;97100;104400;111700;119000;126300;133600;141200;149100;157000;164900;172800;180700;188600;196500;204400;212300;220200;228100;236000;243900;251800;259700;267600;275500;283400;291300;299200
BinaryInsertionSort almost sorted values 0-5;5750;16881;32726;52844;77298;106124;138045;170450;207055;247721;292927;342039;394885;449306;501223;557485;616489;680643;750240;822416;892625;958272;1027509;1101263;1179246;1261893;1348092;1426921;1502252;1580115;1663383;1748039;1839858;1934257;2012952;2089605;2171496;2258439;2351418;2447994;2546038
BinaryInsertionSort reversed values 0-5;4000;9400;15100;21200;27300;33900;73514;277796;490230;702720;915297;1127972;1340924;1619129;2031690;2449412;2867191;3285006;3702854;4122282;4639227;5259484;5882039;6504642;7127292;7749992;8376562;9132788;9959944;10787114;11614326;12441563;13268819;14100744;15087334;16120944;17154571;18188218;19221891;20255576;21289271
BinaryInsertionSort values 0-4000;10994;38492;81214;138716;212154;300769;404714;523875;657257;805436;969459;1150320;1344762;1554580;1779141;2019851;2273255;2545312;2828849;3129796;3441483;3769371;4112913;4475702;4849182;5238289;5641868;6063607;6498914;6947187;7409501;7886874;8376397;8889459;9417541;9953496;10502217;11071282;11658056;12252532;12870613
BinaryInsertionSort sorted values 0-4000;4000;9400;15100;21200;27300;33900;40600;47300;54000;60700;67900;75200;82500;89800;97100;104400;111700;119000;126300;133600;141200;149100;157000;164900;172800;180700;188600;196500;204400;212300;220200;228100;236000;243900;251800;259700;267600;275500;283400;291300;299200
BinaryInsertionSort almost sorted values 0-4000;6279;18772;36471;58986;86220;118425;154765;195348;240151;288984;341939;398437;459116;522916;590498;660837;733795;811214;891719;973986;1060543;1148807;1237516;1328495;1427551;1525050;1624105;1726448;1831467;1937309;2045109;2155260;2264763;2376101;2491363;2603667;2720145;2833738;2949559;3070952;3192711
BinaryInsertionSort reversed values 0-4000;17978;67184;146862;256800;396915;567360;767874;998442;1259156;1549875;1870886;2221980;2603082;3014197;3455310;3926548;4427859;4959169;5520486;6111807;6733328;7385025;8066724;8778416;9520108;10291815;11093529;11925236;12786948;13678665;14600422;15552331;16534243;17546152;18588064;19659972;20761894;21893808;23055736;24247653;25469591
BubbleSort values 0-5;25492;103678;234458;416902;652195;939782;1279580;1671707;2116623;2614608;3164903;3767547;4424234;5130165;5891293;6705259;7571401;8489097;9459032;10480536;11559084;12688250;13865957;15096453;16381185;17719829;19110684;20555414;22055101;23599315;25201929;26855849;28558926;30315745;32128269;33988217;35907586;37879450;39900698;41972031;44092530
BubbleSort sorted values 0-5;19600;79200;178800;318400;498000;717600;977200;1276800;1616400;1996000;2415600;2875200;3374800;3914400;4494000;5113600;5773200;6472800;7212400;7992000;8811600;9671200;10570800;11510400;12490000;13509600;14569200;15668800;16808400;17988000;19207600;20467200;21766800;23106400;24486000;25905600;27365200;28864800;30404400;31984000;33603600
BubbleSort almost sorted values 0-5;21484;87138;197072;350964;548996;791232;1076390;1401905;1771538;2185162;2643201;3145089;3690608;4277658;4902105;5570854;6282305;7038854;7840822;8685318;9567799;10485672;11447091;12452950;13503014;14597734;15735941;16906784;18114058;19363850;20659015;21995544;23379216;24805431;26255862;27744230;29277827;30856477;32481163;34149442;35859180
BubbleSort reversed values 0-5;19600;79200;178800;318400;498000;717600;1010105;1507477;2052922;2638367;3263812;3929257;4634900;5445721;6430831;7461050;8531269;9641488;10791707;11983462;13312713;14785208;16299961;17854714;19449467;21084220;22762828;24611052;26570165;28569278;30608391;32687504;34806617;36970376;39328789;41774194;44259599;46785004;49350409;51955814;54601219
BubbleSort values 0-4000;26763;108805;245636;436921;683938;985987;1343181;1755450;2221855;2742986;3319878;3953515;4640646;5383076;6180176;7033375;7939231;8903690;9919591;10992863;12116855;13296981;14532724;15827652;17173226;18574400;20030004;21543748;23111009;24731216;26405438;28134690;29916071;31760971;33660863;35608614;37609105;39669932;41788448;43954639;46184426
