Sort;50;100;150;200;250;300
BinaryInsertionSort values 0-5;3038;9833;20026;33618;50269;70089
BinaryInsertionSort sorted values 0-5;1700;4000;6600;9400;12100;15100
BinaryInsertionSort almost sorted values 0-5;2068;5661;10175;15335;20831;26808
BinaryInsertionSort reversed values 0-5;1937;11483;28687;53575;86008;125796
BinaryInsertionSort values 0-4000;3316;11047;22679;38254;57666;81064
BinaryInsertionSort sorted values 0-4000;1700;4000;6600;9400;12100;15100
BinaryInsertionSort almost sorted values 0-4000;2133;5990;10886;16579;22844;29453
BinaryInsertionSort reversed values 0-4000;4901;18000;38805;67300;103300;147000
BubbleSort values 0-5;6222;25562;58086;103844;162584;234389
BubbleSort sorted values 0-5;4800;19600;44400;79200;124000;178800
BubbleSort almost sorted values 0-5;5228;21390;48257;85592;133167;190975
BubbleSort reversed values 0-5;5040;27144;66706;123794;198325;290136
BubbleSort values 0-4000;6511;26805;60791;108572;170068;245478
BubbleSort sorted values 0-4000;4800;19600;44400;79200;124000;178800
BubbleSort almost sorted values 0-4000;5303;21727;48967;86860;135210;193805
BubbleSort reversed values 0-4000;8300;34100;77400;138200;216558;312397
CountingSort values 0-5;600;1200;1800;2400;3000;3600
CountingSort sorted values 0-5;500;1100;1742;2400;3000;3600
CountingSort almost sorted values 0-5;600;1200;1800;2400;3000;3600
CountingSort reversed values 0-5;500;1100;1742;2400;3000;3600
CountingSort values 0-4000;19823;20748;21487;22166;22802;23419
CountingSort sorted values 0-4000;3725;7617;11528;15478;19393;23363
CountingSort almost sorted values 0-4000;18142;20007;21002;21734;22483;23370
CountingSort reversed values 0-4000;3758;7680;11608;15556;19450;23344
FirstIverson values 0-5;5327;22108;50380;90389;141556;204118
FirstIverson sorted values 0-5;100;200;400;500;700;800
FirstIverson almost sorted values 0-5;1682;9880;30265;59971;96102;141589
FirstIverson reversed values 0-5;2019;23133;61522;117167;190418;279415
FirstIverson values 0-4000;5857;24236;54956;98389;154168;222653
FirstIverson sorted values 0-4000;100;200;400;500;700;800
FirstIverson almost sorted values 0-4000;2486;14284;35707;65532;103495;149531
FirstIverson reversed values 0-4000;8300;34200;77584;138400;216799;312686
HeapSort values 0-5;3075;7502;12341;17571;22780;28464
HeapSort sorted values 0-5;918;5133;10408;16099;22116;28503
HeapSort almost sorted values 0-5;1294;5565;10637;16240;22157;28681
HeapSort reversed values 0-5;1076;4662;9321;14412;19587;25421
HeapSort values 0-4000;3581;8804;14603;20819;27245;33951
HeapSort sorted values 0-4000;3990;9817;16113;22882;29656;37036
HeapSort almost sorted values 0-4000;3656;8817;14539;20826;28072;36362
HeapSort reversed values 0-4000;3003;7611;12910;18593;24521;30391
InsertionSort values 0-5;1267;4644;10139;17805;27443;39124
InsertionSort sorted values 0-5;300;600;1000;1300;1700;2000
InsertionSort almost sorted values 0-5;604;1862;3594;5632;7827;10188
InsertionSort reversed values 0-5;471;5695;15895;31103;51265;76298
InsertionSort values 0-4000;1458;5474;11950;20952;32432;46516
InsertionSort sorted values 0-4000;300;600;1000;1300;1700;2000
InsertionSort almost sorted values 0-4000;652;2085;4069;6481;9189;12075
InsertionSort reversed values 0-4000;2600;10300;23000;40700;63400;91100
MergeSort values 0-5;3500;8100;13000;18300;23500;29200
MergeSort sorted values 0-5;3500;8100;13000;18300;23500;29200
MergeSort almost sorted values 0-5;3500;8100;13000;18300;23500;29200
MergeSort reversed values 0-5;3500;8100;13000;18300;23500;29200
MergeSort values 0-4000;3500;8100;13000;18300;23500;29200
MergeSort sorted values 0-4000;3500;8100;13000;18300;23500;29200
MergeSort almost sorted values 0-4000;3500;8100;13000;18300;23500;29200
MergeSort reversed values 0-4000;3500;8100;13000;18300;23500;29200
QuickSort values 0-5;1336;3923;7528;12181;17822;24655
QuickSort sorted values 0-5;3649;7882;12283;16715;21361;26345
QuickSort almost sorted values 0-5;1903;4977;8887;13170;18950;30204
QuickSort reversed values 0-5;3822;13033;29282;51107;79823;114157
QuickSort values 0-4000;1059;2622;4348;6175;8172;10193
QuickSort sorted values 0-4000;2623;10124;22430;39553;61492;88265
QuickSort almost sorted values 0-4000;1594;4078;7127;10558;15486;21035
QuickSort reversed values 0-4000;3300;13000;28900;51000;79400;114100
RadixSort values 0-5;6500;12500;18500;24500;30500;36500
RadixSort sorted values 0-5;6500;12500;18500;24500;30500;36500
RadixSort almost sorted values 0-5;6500;12500;18500;24500;30500;36500
RadixSort reversed values 0-5;6500;12500;18500;24500;30500;36500
RadixSort values 0-4000;6500;12500;18500;24500;30500;36500
RadixSort sorted values 0-4000;6500;12500;18500;24500;30500;36500
RadixSort almost sorted values 0-4000;6500;12500;18500;24500;30500;36500
RadixSort reversed values 0-4000;6500;12500;18500;24500;30500;36500
SecondIverson values 0-5;5288;21957;50063;90008;141063;203475
SecondIverson sorted values 0-5;100;300;400;600;700;900
SecondIverson almost sorted values 0-5;1695;9193;27927;56167;90684;135365
SecondIverson reversed values 0-5;2055;23283;61769;117503;190853;279919
SecondIverson values 0-4000;5812;24085;54572;97853;153504;222020
SecondIverson sorted values 0-4000;100;300;400;600;700;900
SecondIverson almost sorted values 0-4000;2335;12809;31826;60714;97279;142772
SecondIverson reversed values 0-4000;8400;34400;77876;138800;217299;313266
SelectionSort values 0-5;3857;15290;34199;60608;94541;135966
SelectionSort sorted values 0-5;3700;14900;33600;59800;93600;134800
SelectionSort almost sorted values 0-5;3860;15303;34276;60701;94603;135769
SelectionSort reversed values 0-5;3700;15099;33990;60429;94376;135869
SelectionSort values 0-4000;3902;15499;34588;61206;95321;136952
SelectionSort sorted values 0-4000;3700;14900;33600;59800;93600;134800
SelectionSort almost sorted values 0-4000;3881;15367;34358;60819;94668;135055
SelectionSort reversed values 0-4000;4300;17424;39212;69706;108901;156788
ShellSortCiura values 0-5;1212;2937;4759;6744;8848;10909
ShellSortCiura sorted values 0-5;800;2000;3300;4800;6300;7800
ShellSortCiura almost sorted values 0-5;915;2341;3922;5646;7381;9126
ShellSortCiura reversed values 0-5;814;2310;4188;5782;8307;9963
ShellSortCiura values 0-4000;1633;4173;7060;10217;13601;16985
ShellSortCiura sorted values 0-4000;800;2000;3300;4800;6300;7800
ShellSortCiura almost sorted values 0-4000;1306;3499;5968;8653;11350;13977
ShellSortCiura reversed values 0-4000;1400;3400;5500;7999;10844;12821
ShellSort values 0-5;1529;3719;5998;8328;10292;13731
ShellSort sorted values 0-5;1000;2500;4500;6000;7500;10500
ShellSort almost sorted values 0-5;1114;2878;5030;6947;8534;11771
ShellSort reversed values 0-5;1018;2867;5467;7421;9749;13398
ShellSort values 0-4000;1963;5184;8160;12652;14986;19739
ShellSort sorted values 0-4000;1000;2500;4500;6000;7500;10500
ShellSort almost sorted values 0-4000;1523;4153;6884;10462;12438;16276
ShellSort reversed values 0-4000;1557;4499;7000;9507;12964;17126
